marketCard_symbol,marketCard_stockPosition,marketCard_changePct
ASX 200*,8918.90,-54.20
NIKKEI*,41849.82,-868.65
NIFTY 50*,24426.85,
HSI*,25586.19,+508.57
SHANGHAI*,3874.593,+16.666
